cbo,wmc,dit,rfc,lcom,totalMethodsQty,totalFieldsQty,returnQty,loopQty,stringLiteralsQty,loc,comparisonsQty,parenthesizedExpsQty,assignmentsQty,variablesQty,maxNestedBlocksQty,lambdasQty,uniqueWordsQty,CLASS
10,3,3,11,3,3,0,1,0,4,20,0,0,7,7,0,0,22,No smell
11,3,3,12,1,2,0,2,1,2,20,0,2,6,9,2,2,21,No smell
12,5,3,13,6,4,0,3,1,1,23,0,5,8,8,1,0,32,No smell
11,4,3,11,6,4,0,1,0,3,73,0,0,11,11,1,1,49,No smell
11,6,3,7,15,6,0,1,0,5,58,0,0,15,15,1,1,49,No smell
12,11,3,12,10,5,0,1,6,4,86,0,0,25,25,3,1,51,No smell
13,14,3,13,55,11,0,1,3,10,100,0,0,21,21,3,8,61,No smell
13,2,3,6,1,2,0,1,0,1,14,0,0,5,5,0,0,26,No smell
18,11,3,29,21,7,0,1,4,4,81,0,0,16,16,1,0,60,No smell
11,6,3,9,13,6,1,1,0,3,41,0,0,9,8,1,3,35,No smell
30,8,2,35,3,3,0,1,3,5,47,2,0,18,16,2,0,53,No smell
21,1,2,21,0,1,0,0,0,25,15,0,0,8,8,0,0,30,No smell
12,2,2,12,1,2,6,0,0,3,24,0,0,9,9,0,0,39,No smell
13,3,2,13,3,3,4,1,0,4,30,0,0,10,10,0,0,40,No smell
11,2,2,11,1,2,2,0,0,3,23,0,0,9,9,0,0,44,No smell
16,3,2,25,1,2,14,0,0,7,51,1,0,19,19,1,0,56,No smell
13,2,2,12,1,2,7,0,0,3,25,0,0,10,10,0,0,42,No smell
17,6,2,38,1,2,19,0,0,8,92,2,0,27,27,1,0,65,No smell
13,3,2,13,1,3,4,0,0,3,48,0,0,13,13,0,0,47,No smell
13,3,2,13,1,3,4,0,0,3,50,0,0,13,13,0,0,47,No smell
17,4,2,37,1,2,18,0,0,8,79,2,0,25,25,1,0,62,No smell
12,2,2,12,1,2,6,0,0,3,24,0,0,9,9,0,0,38,No smell
19,5,2,45,1,2,18,0,0,12,94,1,0,30,30,1,0,72,No smell
13,3,2,13,1,3,4,0,0,3,48,0,0,13,13,0,0,48,No smell
16,4,2,38,1,2,16,0,0,8,84,2,0,25,25,1,0,61,No smell
17,7,2,34,1,2,19,0,0,8,98,3,0,27,27,1,0,65,No smell
12,2,2,12,1,2,2,0,0,3,24,0,0,9,9,0,0,32,No smell
12,2,2,12,1,2,4,0,0,3,25,0,0,9,9,0,0,44,No smell
