cbo,wmc,dit,rfc,lcom,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,CLASS
10,3,3,11,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,20,1,0,0,0,0,4,16,7,0,7,0,0,0,0,22,1,0,No smell
11,3,3,12,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,20,2,1,0,0,2,2,16,6,2,9,2,0,0,2,21,1,0,No smell
12,5,3,13,6,4,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,23,3,1,0,0,5,1,18,8,18,8,1,0,0,0,32,1,0,No smell
11,4,3,11,6,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,73,1,0,0,0,0,3,217,11,6,11,1,0,0,1,49,1,0,No smell
11,6,3,7,15,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,58,1,0,0,0,0,5,6,15,0,15,1,0,1,1,49,1,0,No smell
12,11,3,12,10,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,86,1,6,0,0,0,4,174,25,8,25,3,0,0,1,51,1,0,No smell
13,14,3,13,55,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,100,1,3,0,0,0,10,208,21,4,21,3,0,0,8,61,1,0,No smell
13,2,3,6,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,1,6,5,0,5,0,0,0,0,26,1,0,No smell
18,11,3,29,21,7,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,81,1,4,0,0,0,4,9,16,1,16,1,0,1,0,60,1,0,No smell
11,6,3,9,13,6,0,6,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,4,41,1,0,0,0,0,3,12,9,0,8,1,0,0,3,35,1,0,No smell
30,8,2,35,3,3,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,15,47,1,3,2,0,0,5,53,18,0,16,2,0,0,0,53,0,0,No smell
21,1,2,21,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,25,11,8,0,8,0,0,0,0,30,0,0,No smell
12,2,2,12,1,2,0,0,1,0,1,1,0,0,0,6,0,0,5,0,1,0,0,0,24,0,0,0,0,0,3,3,9,0,9,0,0,0,0,39,0,0,No smell
13,3,2,13,3,3,0,0,2,0,1,1,0,0,0,4,0,0,4,0,0,0,0,1,30,1,0,0,0,0,4,12,10,0,10,0,0,0,0,40,0,0,No smell
11,2,2,11,1,2,0,0,1,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,23,0,0,0,0,0,3,4,9,0,9,0,0,0,0,44,0,0,No smell
16,3,2,25,1,2,0,0,1,0,1,1,0,0,0,14,0,0,14,0,0,10,0,2,51,0,0,1,0,0,7,10,19,1,19,1,0,0,0,56,0,0,No smell
13,2,2,12,1,2,0,0,1,0,1,1,0,0,0,7,0,0,6,0,1,2,0,0,25,0,0,0,0,0,3,4,10,1,10,0,0,0,0,42,0,0,No smell
17,6,2,38,1,2,0,0,1,0,1,1,0,0,0,19,0,0,19,0,0,15,0,2,92,0,0,2,0,0,8,27,27,1,27,1,2,0,0,65,0,0,No smell
13,3,2,13,1,3,0,0,2,0,1,1,0,0,0,4,0,0,4,0,0,2,0,0,48,0,0,0,0,0,3,17,13,0,13,0,1,0,0,47,0,0,No smell
13,3,2,13,1,3,0,0,2,0,1,1,0,0,0,4,0,0,4,0,0,2,0,0,50,0,0,0,0,0,3,22,13,0,13,0,1,0,0,47,0,0,No smell
17,4,2,37,1,2,0,0,1,0,1,1,0,0,0,18,0,0,18,0,0,14,0,2,79,0,0,2,0,0,8,26,25,1,25,1,1,0,0,62,0,0,No smell
12,2,2,12,1,2,0,0,1,0,1,1,0,0,0,6,0,0,6,0,0,1,0,0,24,0,0,0,0,0,3,4,9,0,9,0,0,0,0,38,0,0,No smell
19,5,2,45,1,2,0,0,1,0,1,1,0,0,0,18,0,0,18,0,0,16,0,4,94,0,0,1,0,0,12,26,30,2,30,1,2,0,0,72,0,0,No smell
13,3,2,13,1,3,0,0,2,0,1,1,0,0,0,4,0,0,4,0,0,2,0,0,48,0,0,0,0,0,3,17,13,0,13,0,1,0,0,48,0,0,No smell
16,4,2,38,1,2,0,0,1,0,1,1,0,0,0,16,0,0,16,0,0,15,0,2,84,0,0,2,0,0,8,26,25,1,25,1,2,0,0,61,0,0,No smell
17,7,2,34,1,2,0,0,1,0,1,1,0,0,0,19,0,0,19,0,0,15,0,2,98,0,0,3,0,0,8,27,27,1,27,1,3,0,0,65,0,0,No smell
12,2,2,12,1,2,0,0,1,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,24,0,0,0,0,0,3,4,9,0,9,0,0,0,0,32,0,0,No smell
12,2,2,12,1,2,0,0,1,0,1,1,0,0,0,4,0,0,4,0,0,2,0,0,25,0,0,0,0,0,3,5,9,0,9,0,0,0,0,44,0,0,No smell
17,6,2,41,1,2,0,0,1,0,1,1,0,0,0,20,0,0,20,0,0,16,0,2,97,0,0,2,0,0,8,28,28,1,28,1,2,0,0,67,0,0,No smell
17,6,2,38,1,2,0,0,1,0,1,1,0,0,0,19,0,0,19,0,0,15,0,2,92,0,0,2,0,0,8,27,27,1,27,1,2,0,0,65,0,0,No smell
13,2,2,13,1,2,0,0,1,0,1,1,0,0,0,6,0,0,6,0,0,1,0,0,30,0,0,0,0,0,3,14,10,0,10,0,0,0,0,39,0,0,No smell
13,2,2,13,1,2,0,0,1,0,1,1,0,0,0,6,0,0,6,0,0,1,0,0,28,0,0,0,0,0,3,10,10,0,10,0,0,0,0,39,0,0,No smell
16,5,2,34,1,2,0,0,1,0,1,1,0,0,0,17,0,0,17,0,0,15,0,2,68,0,0,3,0,0,8,29,22,1,22,1,0,0,0,56,0,0,No smell
13,3,2,13,1,3,0,0,2,0,1,1,0,0,0,4,0,0,4,0,0,2,0,0,50,0,0,0,0,0,3,22,13,0,13,0,1,0,0,48,0,0,No smell
13,3,2,28,1,2,0,0,1,0,1,1,0,0,0,15,0,0,15,0,0,11,0,0,64,0,0,1,0,1,16,9,25,1,25,1,0,0,0,62,0,0,No smell
